journal_id,period,business_unit,entry_type,hours_to_post,requires_rework,posting_date,account,cost_center,amount,direction,description,preparer,approver,source_system,reversal_of,vendor_id,vendor_name
JE-1001,2026-01,Distribution East,Accrual,2.1,0,2026-01-03,2200 - Accrued Compensation,OPS-EAST,8160,DEBIT,Monthly accrual posted - Distribution East,S. Brooks,Assistant Controller,BlackLine,,V201,Atlas Freight East
JE-1002,2026-01,Distribution West,Reclass,3.4,1,2026-01-05,2050 - AP Reclass Clearing,OPS-WEST,4990,CREDIT,Balance sheet reclass - Distribution West,K. Morgan,Accounting Manager,Coupa,,V202,Summit Route West
JE-1003,2026-01,Corporate,Revenue Cutoff,4.2,1,2026-01-07,4100 - Revenue Cutoff Reserve,FIN-HQ,15149,CREDIT,Revenue cutoff pending controller approval,J. Ellis,FP&A Director,SAP S/4HANA,,V203,Northshore Advisory Services
JE-1004,2026-01,Corporate,Expense Accrual,1.8,0,2026-01-09,6100 - Operating Expense Accrual,FIN-HQ,7841,DEBIT,Expense accrual posted - Corporate,R. Patel,Controller,Oracle Fusion,,V203,Northshore Advisory Services
JE-1005,2026-01,Inventory,Valuation,3.9,0,2026-01-11,1400 - Inventory Valuation Reserve,INV-CTRL,11346,DEBIT,Inventory valuation adjustment - Inventory,A. Chen,Assistant Controller,BlackLine,,V204,Apex Industrial Components
JE-1006,2026-01,Shared Services,Accrual,2.7,0,2026-01-13,2200 - Accrued Compensation,SHR-SVC,7778,DEBIT,Monthly accrual posted - Shared Services,M. Foster,Accounting Manager,Coupa,,V205,Meridian Business Services
JE-1007,2026-01,EMEA,Valuation,5.1,1,2026-01-15,1400 - Inventory Valuation Reserve,EMEA-01,11826,DEBIT,Inventory valuation adjustment - EMEA,S. Brooks,FP&A Director,SAP S/4HANA,,V206,EuroSupply GmbH
JE-1008,2026-01,North America,Reclass,4.6,1,2026-01-17,2050 - AP Reclass Clearing,NA-OPS,5096,CREDIT,Balance sheet reclass - North America,K. Morgan,Controller,Oracle Fusion,,V207,Midwest Carrier Partners
JE-1009,2026-02,Distribution East,Accrual,2.3,0,2026-02-03,2200 - Accrued Compensation,OPS-EAST,8354,DEBIT,Monthly accrual posted - Distribution East,J. Ellis,Assistant Controller,BlackLine,,V201,Atlas Freight East
JE-1010,2026-02,Distribution West,Expense Accrual,3.1,0,2026-02-05,6100 - Operating Expense Accrual,OPS-WEST,7298,DEBIT,Expense accrual posted - Distribution West,R. Patel,Accounting Manager,Coupa,,V202,Summit Route West
